[2024-05-11 16:32:08.090]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-11 16:32:08.122]	 Already installed "tpm"
[2024-05-11 16:32:08.124]	 Already installed "tmux"
[2024-05-11 16:32:08.137]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-11 16:32:08.157]	 Updating all plugins!
[2024-05-11 16:32:08.157]	 
[2024-05-11 16:32:08.592]	   "tmux" update success
[2024-05-11 16:32:08.596]	     | Already up to date.
[2024-05-11 16:32:08.638]	   "tpm" update success
[2024-05-11 16:32:08.641]	     | Already up to date.
[2024-05-11 16:32:08.659]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-11 16:32:08.696]	 Done.

[2024-05-11 16:32:57.359]	 List of discovered tpm plugins: catppuccin/tmux tmux-plugins/tpm
[2024-05-11 16:32:57.368]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-11 16:32:57.401]	 Already installed "tpm"
[2024-05-11 16:32:57.403]	 Already installed "tmux"
[2024-05-11 16:32:57.413]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-11 16:32:57.431]	 Updating all plugins!
[2024-05-11 16:32:57.431]	 
[2024-05-11 16:32:57.848]	   "tmux" update success
[2024-05-11 16:32:57.851]	     | Already up to date.
[2024-05-11 16:32:57.879]	   "tpm" update success
[2024-05-11 16:32:57.884]	     | Already up to date.
[2024-05-11 16:32:57.910]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-11 16:32:57.984]	 Done.

[2024-05-15 20:15:27.800]	 List of discovered tpm plugins: catppuccin/tmux tmux-plugins/tpm
[2024-05-15 20:15:27.810]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-15 20:15:27.857]	 Already installed "tpm"
[2024-05-15 20:15:27.858]	 Already installed "tmux"
[2024-05-15 20:15:27.873]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-15 20:15:27.897]	 Updating all plugins!
[2024-05-15 20:15:27.897]	 
[2024-05-15 20:15:29.484]	   "tpm" update success
[2024-05-15 20:15:29.486]	     | Already up to date.
[2024-05-15 20:15:29.725]	   "tmux" update success
[2024-05-15 20:15:29.727]	     | From https://github.com/catppuccin/tmux
[2024-05-15 20:15:29.727]	     |    804f060..697087f  main       -> origin/main
[2024-05-15 20:15:29.727]	     | Updating 804f060..697087f
[2024-05-15 20:15:29.727]	     | Fast-forward
[2024-05-15 20:15:29.727]	     |  .github/scripts/test.bash                          |  2 +-
[2024-05-15 20:15:29.727]	     |  .github/workflows/test.yml                         | 10 +++----
[2024-05-15 20:15:29.727]	     |  README.md                                          | 10 +++----
[2024-05-15 20:15:29.727]	     |  catppuccin.tmux                                    | 35 +++++++++++++++-------
[2024-05-15 20:15:29.727]	     |  .../catppuccin_frappe.tmuxtheme                    |  0
[2024-05-15 20:15:29.727]	     |  .../catppuccin_latte.tmuxtheme                     | 10 +++----
[2024-05-15 20:15:29.727]	     |  .../catppuccin_macchiato.tmuxtheme                 |  0
[2024-05-15 20:15:29.727]	     |  .../catppuccin_mocha.tmuxtheme                     |  0
[2024-05-15 20:15:29.727]	     |  tmux.tera                                          | 26 ++++++++++++++++
[2024-05-15 20:15:29.727]	     |  utils/interpolate_utils.sh                         | 11 +++++++
[2024-05-15 20:15:29.727]	     |  utils/tmux_utils.sh                                | 21 +++++++++++++
[2024-05-15 20:15:29.728]	     |  11 files changed, 97 insertions(+), 28 deletions(-)
